ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	pcr	platform	sex
GTEX-11GS4	0.0091	-0.0024	-0.1295	0.0143	-0.0224	0.0531472638249	0.0101284198463	0.0523839890957	0.0340619720519	0.0841816216707	-0.0651875212789	-0.107091136277	0.120827563107	-0.00545562151819	-0.0078147565946	-0.0538066327572	-0.0095460517332	-0.0185520406812	0.00117095618043	-0.00144872290548	1.0	1.0	1.0
GTEX-11OF3	0.0146	-0.0037	0.0209	0.0036	0.021	-0.121609412134	0.0473704189062	-0.0402826778591	0.0561104118824	-0.0425243154168	0.0709324330091	-0.0369918309152	0.107041753829	-0.0209983047098	-0.0516823790967	-0.027510561049	0.0469012819231	-0.0791042000055	0.0032355170697	-0.00469330186024	0.0	1.0	1.0
GTEX-11TTK	0.0161	-0.0009	0.0287	0.0091	-0.1136	0.10723093152	0.0135602094233	0.224333688617	0.131613090634	-0.0966655761003	-0.0436408892274	0.168229758739	0.0503875315189	0.159308582544	0.0340058617294	0.0134576847777	-0.0484320111573	0.0863436385989	-0.00599676603451	0.00421957019717	1.0	1.0	2.0
GTEX-12696	0.0149	-0.0065	0.0167	-0.0067	0.0151	0.0821725204587	0.0393996573985	-0.125133872032	0.107984855771	-0.0198477078229	-0.22972869873	0.102304980159	-0.047706771642	-0.0698161050677	0.0149109493941	-0.0332041680813	0.0313685014844	-0.0601705238223	0.00439816946164	-0.00268696714193	0.0	1.0	1.0
GTEX-12WSG	0.0136	-0.0001	0.0169	0.0042	-0.0041	0.011237888597	-0.0812172219157	-0.030024336651	-0.0392056368291	0.0827318876982	-0.133370831609	0.0197033435106	-0.0517113618553	-0.0312697477639	-0.00886525586247	0.026543840766	0.160399764776	0.0551850870252	-0.0106281591579	0.00695112673566	1.0	1.0	2.0
GTEX-13112	0.0144	-0.0046	0.0166	0.0097	0.0054	0.0479915887117	0.185937538743	-0.129355594516	-0.0522340945899	-0.0655797943473	-0.135914131999	0.0449061691761	-0.0399378575385	0.0671118721366	0.0148162348196	-0.0012284925906	-0.0355747491121	0.00277454801835	0.000872194184922	-0.000578460167162	1.0	1.0	1.0
GTEX-1399S	0.0145	-0.0025	-0.0091	0.0	0.0197	0.146055310965	-0.0359980538487	-0.0869282633066	0.0588159784675	-0.0222356505692	0.170998841524	0.0233593545854	0.043079469353	-0.0745139569044	0.130919232965	-0.00412036897615	0.0608765296638	-0.00349031249061	-0.00215497473255	0.00147826306056	0.0	1.0	2.0
GTEX-13NYB	-0.0945	-0.0152	0.0069	-0.0019	0.0038	-0.177231058478	-0.0217515230179	-0.00525601720437	0.119389049709	0.0267832614481	0.0544970408082	0.0656862407923	-0.0653231889009	0.0514437779784	0.138741642237	-0.0707412958145	-0.0739333853126	0.00407444499433	0.00230733864009	-0.000797470274847	1.0	1.0	1.0
GTEX-13OVI	-0.0872	-0.0141	0.0079	0.0063	-0.0079	0.139092355967	0.00197993521579	0.00182284635957	0.0265228301287	0.161979570985	0.139529049397	0.132394656539	-0.0343362875283	-0.0782586783171	0.0662582814693	0.16023927927	0.126821026206	-0.0343590192497	-0.000956397911068	0.000544577022083	1.0	1.0	2.0
GTEX-13OVL	0.0152	-0.0073	0.0241	0.0048	0.0292	0.0021417546086	0.201900526881	-0.0568014755845	-0.000249638978858	0.0314707048237	-0.103101737797	0.0827590152621	-0.0724701806903	0.055144444108	0.00398008758202	0.0622741430998	-0.0293791033328	-0.0382185354829	0.00430209375918	-0.00325342081487	1.0	1.0	1.0
