ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	InferredCov16	InferredCov17	InferredCov18	InferredCov19	InferredCov20	InferredCov21	InferredCov22	InferredCov23	InferredCov24	InferredCov25	InferredCov26	InferredCov27	InferredCov28	InferredCov29	InferredCov30	InferredCov31	InferredCov32	InferredCov33	InferredCov34	InferredCov35	InferredCov36	InferredCov37	InferredCov38	InferredCov39	InferredCov40	InferredCov41	InferredCov42	InferredCov43	InferredCov44	InferredCov45	pcr	platform	sex
GTEX-111CU	0.0107	-0.0026	0.0004	-0.0015	0.0112	-0.0136378137395	0.0230260454118	-0.074231788516	-0.01627914235	-0.0051292013377	0.0167844071984	0.0684819296002	-0.0450999066234	-0.0459318906069	-0.0501248054206	0.0507699735463	-0.0230868607759	-0.0350599400699	0.0271550342441	-0.0932489931583	-0.00188873137813	0.0450187027454	0.0130433607846	-0.029172796756	0.100106619298	-0.0863548740745	0.125069797039	-0.0248086862266	-0.109325490892	-0.0175753738731	-0.0802519991994	0.0396690294147	0.0982986167073	-0.112885907292	-0.0749578252435	-0.141730055213	0.045799151063	-0.00193356303498	0.0310059729964	-0.0210798922926	0.101416811347	0.0360566005111	0.0472835339606	-0.0330203250051	0.0699531435966	0.00865386426449	0.0417868196964	0.025585507974	0.0347739011049	-0.00136823020875	1.0	0.0	1.0
GTEX-111YS	0.0154	-0.0093	0.0107	-0.0038	-0.0083	-0.0218038540334	0.0589666329324	0.00571431778371	0.134917989373	4.94820706081e-05	0.0216336045414	-0.0381445512176	-0.0823923647404	0.0120537094772	-0.0285125821829	0.0321079827845	0.067220620811	0.0189197380096	-0.0826029703021	-0.0612382851541	-0.0487597957253	0.10543499887	0.0424272939563	-0.122858591378	0.0615535005927	0.0294971372932	0.0113760512322	-0.127316817641	-0.0231895875186	-0.0143676009029	-0.04694673419	-0.0719032138586	-0.0701199471951	0.0385659709573	0.103853292763	0.0791337639093	-0.0192504748702	-0.00314425956458	-0.0892984867096	0.0873912796378	0.150624766946	0.0446299649775	-0.028258876875	-0.0217658542097	0.00573878083378	-0.0623160265386	-0.0717502012849	-0.0479325391352	0.0852264761925	-0.0933188423514	1.0	1.0	2.0
GTEX-1122O	0.0139	-0.0097	0.0067	-0.0144	0.0296	0.0291755497456	-0.00880301836878	0.0250316839665	0.0205505546182	-0.0321853198111	-0.00513575831428	-0.0364171378314	-0.0184605512768	0.0811046808958	0.0396435186267	-0.148828282952	0.0463264137506	-0.139349982142	0.0695058479905	0.0927017852664	0.0259011238813	-0.0114593347535	-0.00721495831385	0.0369791276753	0.095814652741	-0.0140196140856	0.0970714241266	0.0213625933975	-0.144610911608	0.00377024826594	0.0339695438743	-0.0838976129889	0.0125382719561	-0.00814447086304	-0.0144892390817	0.00211502029561	-0.0414425730705	0.0437955036759	0.0646339580417	0.00828001275659	-0.0992112234235	-0.0796546787024	-0.0275216400623	-0.0251037329435	0.0107349576429	0.0926835462451	-0.0639399513602	0.0310888830572	-0.00576715404168	-0.00987967848778	1.0	1.0	1.0
GTEX-1128S	0.0145	-0.0093	0.0327	0.0056	0.051	0.0316755175591	-0.000211985694477	0.0224836859852	-0.00434867152944	0.0405308865011	0.010893503204	0.000296905374853	-0.0254741702229	-0.0345984846354	0.082609847188	-0.0022651553154	-0.0168642029166	-0.0193715281785	-0.105214647949	-0.0395540893078	-0.00153347826563	-0.0499726310372	-0.0320273824036	-0.124531276524	-0.0566247291863	0.0108650131151	0.0959289669991	-0.0413842983544	0.00276254955679	-0.0101561695337	-0.0178853366524	-0.00989419035614	0.0423124134541	-0.0561464056373	-0.102556928992	0.0675773322582	-0.046873357147	0.0621492043138	-0.00023453697213	-0.0947449803352	-0.0322075299919	0.0605374835432	-0.0589468479156	0.0495227389038	-0.0493562594056	0.0101117296144	-0.0578607432544	-0.0166128315032	0.000195478409296	-0.0348500274122	1.0	1.0	1.0
GTEX-117YX	-0.024	0.2897	0.0133	0.1111	0.0262	0.0161317531019	0.000967654632404	-0.0166842024773	-0.0172165855765	0.0494219735265	0.00346909882501	-0.00685629341751	-0.0529898926616	0.0269341897219	-0.0164258498698	0.0431615263224	-0.0568073093891	-0.0412583202124	0.0215694587678	0.00310699362308	0.0417628996074	0.0367417111993	-0.0038251967635	0.0456622466445	0.0447269901633	0.0465226508677	0.0399249829352	-0.0267500542104	0.0357604771852	0.00726209720597	0.0389847680926	0.00841899123043	0.024071149528	-0.00875675864518	0.041386153549	-0.0389925763011	-0.0502931810915	-0.00773721886799	0.0595558770001	-0.0176422540098	-0.0346048772335	-0.0744047164917	0.010635943152	0.0241452530026	-0.0330412685871	-0.054015185684	-0.081360898912	-0.0604506880045	-0.0483119934797	-0.0295855421573	1.0	1.0	1.0
GTEX-11DXX	0.0141	-0.0083	0.0026	0.015	0.0228	-0.0154790468514	-0.0394689515233	-0.00137631339021	-0.0739569589496	0.0340464785695	0.00101147638634	0.0145760988817	-0.019170537591	-0.0338419638574	-0.0609592236578	-0.00146705145016	0.0162577368319	0.0583148226142	-0.116143330932	0.123111210763	0.0477260015905	0.0592306517065	-0.0748874619603	-0.0237928610295	0.0746255591512	0.135895982385	0.00537705281749	-0.0201408416033	0.0437518917024	-0.112206444144	-0.0580303706229	0.013525409624	-0.0465696714818	0.0401675328612	0.0424381829798	-0.0405838191509	-0.0195332933217	0.0832616090775	-0.00564185949042	0.00691376486793	-0.10536056757	-0.000703811645508	0.0174003820866	-0.0767641291022	-0.00960394274443	-0.0657113343477	-0.00332465209067	0.0264500491321	0.0229390207678	0.0533839911222	1.0	1.0	1.0
GTEX-11EQ9	0.0135	-0.0064	-0.0041	0.002	-0.0016	0.0477456599474	0.0166054219007	0.0103564206511	-0.0796370059252	-0.0284214690328	0.0477559417486	-0.0557948984206	-0.0490622222424	0.0202029794455	-0.0180649757385	-0.0459000952542	0.00271262112074	-0.0057266196236	-0.014051492326	-0.0356234535575	0.0742649659514	0.0408413410187	-0.0114774554968	-0.00620225025341	0.0172263141721	-0.0708677470684	-0.077871017158	-0.0288000814617	-0.145559355617	0.036801725626	-0.145034238696	-0.0364905633032	0.0395164638758	0.0708090141416	-0.0515466183424	0.00227312231436	-0.0363256707788	0.0037447726354	0.0638746917248	0.0199230164289	0.0407084301114	-0.080203846097	-0.0648396909237	0.0595651865005	-0.0575932897627	0.0953774601221	-0.00673397351056	0.0443657785654	0.0698241442442	-0.0350435897708	1.0	1.0	2.0
GTEX-11GSP	0.0147	-0.0048	-0.0006	0.0135	0.0029	-0.0366316437721	-0.043283034116	0.00413725525141	0.0388190038502	0.01597125642	-0.153925046325	0.000236713007325	-0.0500536821783	-0.0807957947254	-0.053279556334	-0.016511041671	0.0128398081288	0.0758739262819	-0.0461453832686	0.0775291249156	0.0725783705711	0.114284418523	0.0993222594261	-0.0646297261119	-0.0501976646483	-0.0232022795826	-0.0140774203464	0.12623462081	-0.0408147461712	-0.0620171763003	0.0972477197647	0.00668647978455	-0.0542431585491	0.0171882286668	-0.134971052408	0.0723546817899	0.145764753222	-0.111310616136	0.0902273058891	0.067049510777	0.127078026533	-0.105931863189	0.0151838352904	-0.114838138223	-0.0919892042875	0.186823248863	-0.0652184337378	0.0493570417166	-0.0516611598432	0.0582425259054	0.0	1.0	2.0
GTEX-11I78	0.014	-0.0074	-0.0128	0.0014	0.0086	-0.0857724994421	-0.013870742172	0.0759313255548	-0.0134407831356	0.0325058437884	0.00386028806679	-0.108024589717	-0.0230411235243	-0.0850272104144	0.116221018136	-0.0211534723639	0.029507400468	-0.0809725448489	0.0185627676547	0.0468578152359	0.0737100690603	-0.0395611673594	0.0175208002329	-0.0797345414758	0.0229930598289	0.0985583886504	-0.036756824702	-0.00241338158958	-0.0481754168868	-0.0168694835156	-0.0324523150921	0.0986726209521	0.0177193693817	0.0571374520659	0.0373313985765	-0.0899640470743	0.0175263117999	-0.0680442601442	0.0417782478034	0.0354989990592	-0.0693636834621	-0.0398953072727	0.0209631752223	-0.0650532469153	-0.0228353478014	-0.015973482281	0.0373046882451	-0.0199989695102	-0.010404358618	-0.0265812501311	0.0	1.0	1.0
GTEX-11LCK	0.0148	-0.0085	0.0074	-0.0139	0.0379	0.000587775430176	0.00438202172518	0.0394531078637	-0.0314484760165	0.0245301295072	0.0135433943942	0.0278166085482	-0.109310597181	0.0107385590672	0.123472325504	0.0143749425188	0.0158138684928	0.0144385704771	-0.0333184339106	0.0794592872262	-0.0070173246786	0.0436149984598	-0.00341516570188	0.0260504558682	-0.0614143200219	0.037021830678	-0.070549249649	-0.0799521505833	0.0424272567034	0.0587211176753	-0.0405157767236	-0.0520374663174	-0.0249435100704	-0.0159912910312	-0.0436782613397	0.0523987784982	0.0173187293112	0.0309557039291	-0.0465996824205	0.0404695160687	0.0155346011743	-0.00651175528765	-0.0156587101519	-0.0239302366972	-0.041401155293	-0.0868069455028	0.00144614768215	-0.019270779565	0.0629923567176	0.0105847408995	1.0	1.0	2.0
GTEX-11NSD	0.0139	-0.0032	0.0137	0.0051	-0.0403	-0.00451828353107	0.0220946762711	-0.0355744734406	-0.0328037440777	0.0422857403755	0.00113883777522	0.0555636063218	0.0205214843154	0.0266719125211	0.0103833153844	0.0165003221482	-0.0336625128984	0.0290927793831	-0.0902337953448	0.0800711363554	-0.00640560919419	0.0428405925632	0.0867234542966	0.0699179172516	-0.034726228565	-0.0505102612078	0.0578226819634	0.00534378038719	-0.0722516849637	0.0173529908061	-0.0715928226709	-0.0808162242174	-0.0781723186374	0.0243414342403	0.0136348642409	0.0158656332642	-0.0958657264709	-0.0146018285304	0.0649222806096	0.0301450770348	-0.0453482083976	-0.0501425042748	-0.149153396487	0.0377542003989	-0.00231321505271	-0.0246730204672	-0.0763357654214	-0.081513389945	0.078409679234	0.091284930706	1.0	1.0	2.0
GTEX-11ONC	0.0145	-0.0098	0.0155	0.0054	0.0258	0.0197535771877	0.0509074740112	-0.0404831208289	-0.0200336780399	0.0761913433671	-0.00213970500045	0.0531635805964	-0.0644134059548	0.0481888465583	0.0275504048914	0.0640299916267	-0.0446905680001	-0.0550427623093	-0.115318208933	0.0320389457047	0.0155892567709	-0.109859094024	-0.0273940283805	-0.0101871248335	-0.00217726291157	-0.0305014364421	-0.0810559466481	-0.00363624910824	-0.0158807262778	0.0553908869624	0.0543037988245	-0.00866329763085	0.0190518312156	0.0239699687809	0.0917918756604	0.000491703860462	0.0380549430847	0.0734309181571	0.0790745466948	-0.0271125081927	0.0541038773954	-0.00335991266184	-0.0321251824498	-0.0485855862498	0.0171232838184	-0.0283822529018	-0.0251047071069	0.0175636895001	-0.0628485754132	0.00808490160853	0.0	1.0	1.0
GTEX-11P7K	-0.0998	-0.0125	0.0128	0.021	-0.0015	-0.0373304486275	0.0207302980125	-0.0430229716003	0.0908683761954	-0.0138102732599	-0.0407999157906	-0.0302012767643	0.0153864352033	-0.119696825743	-0.0217994395643	0.0243232995272	0.0547268986702	0.0567068383098	0.0169453229755	0.0463689230382	0.00147977622692	-0.0239725708961	-0.0549325533211	0.0876820608974	0.0529355555773	1.64583107107e-05	0.00961114373058	0.0342354029417	-0.0248294528574	0.0831273794174	-0.021035362035	-0.0613996163011	0.059483166784	-0.0482279360294	0.0283783525228	-0.00835601147264	0.0383327379823	0.0631440803409	-0.0554830618203	0.0804443433881	-0.0446112565696	-0.0160802453756	-0.0292373951524	-0.00747450673953	-0.035848710686	0.021594773978	-0.0452015995979	0.0338750258088	0.0651281997561	0.0299387127161	1.0	1.0	2.0
GTEX-11TT1	-0.0217	-0.0089	0.0094	0.0102	0.0211	0.0175120551139	-0.010241098702	0.0547714419663	-0.00496924016625	-0.0902606546879	-0.0415157675743	0.164361104369	0.012985792011	-0.0190728995949	0.102118104696	-0.0110312625766	0.0178618449718	0.104489669204	0.0639037713408	-0.147349879146	0.0822187811136	-0.0251960102469	0.00883371382952	-0.016542321071	0.0645183324814	0.0886651873589	-0.044217556715	0.0466746799648	0.0371959544718	-0.0594887733459	0.0744357705116	0.0530529655516	0.0779221653938	0.0666556283832	0.0465952642262	0.0336960367858	-0.0252457484603	0.0156047008932	0.0350536257029	0.0437252931297	0.0671662315726	0.0713371485472	-0.0933689028025	0.0235599316657	-0.0536156371236	0.0510794967413	-0.0978693142533	0.00702397152781	0.0257891584188	0.0835193023086	1.0	1.0	2.0
GTEX-11VI4	0.014	-0.0072	-0.0016	-0.0007	0.0127	0.0211574565619	-0.0461726039648	-0.0828470438719	0.0132599119097	-0.0450581796467	-0.038682628423	0.00531532615423	-0.0205865576863	-0.038236759603	-0.0613161809742	-0.0674484819174	-0.0849695503712	-0.0103197759017	0.0563755258918	-0.050066743046	-0.0483241267502	-0.0288998838514	0.0440446026623	0.00142536137719	0.0103389909491	0.0289200842381	0.0320926681161	-0.00549261737615	0.0865957140923	-0.0338111147285	0.018019175157	-0.0552736744285	-0.0917509198189	-0.0417521893978	0.0355810895562	-0.00639425544068	-0.0941631793976	-0.0558069273829	0.0402038060129	0.063786059618	-0.000509241188411	0.0896438509226	0.0442154444754	0.0367016717792	-0.0777261406183	0.0174002423882	0.0683624446392	-0.035036534071	0.00967387761921	0.0330891683698	1.0	0.0	1.0
GTEX-11XUK	0.015	-0.0078	0.0276	0.017	0.0219	0.0555484853685	0.0168070942163	0.0312032084912	-0.0249194726348	0.0110231582075	0.00570999318734	-0.0186917632818	-0.0151593275368	0.0332273244858	0.0374284610152	0.0140655180439	0.0170415341854	-0.0025640274398	-0.0410453639925	-0.0128603987396	0.0125292558223	-0.0464470721781	0.0194811597466	-0.0169355683029	-0.00870306137949	-0.0266644004732	0.0698574781418	0.0650416612625	0.000836705905385	0.00300990440883	-0.0324605815113	-0.0420251265168	0.00500796129927	0.0235390253365	0.0510709881783	0.0195412095636	-0.0122906789184	0.0411625653505	0.0110178841278	0.0915518403053	0.0786532312632	-0.0518272668123	0.0745313465595	0.0986592099071	0.0223913770169	0.079215452075	0.0248529389501	-0.0444355271757	0.0521138682961	0.0427090413868	0.0	1.0	1.0
GTEX-1211K	0.0149	-0.004	0.0215	-0.0127	0.0282	-0.0114706000313	-0.0378348790109	0.0586360543966	-0.0491466484964	0.0175864268094	0.076028957963	-0.00503277638927	0.0155659588054	-0.0601951107383	-0.0451900139451	-0.00686214026064	0.05441609025	-0.0250412337482	-0.0567197725177	-0.00148219848052	-0.00856597255915	-0.0204145479947	0.0331140421331	0.0150418514386	0.0542374253273	-0.0706967264414	0.0791687741876	-0.0123612144962	-0.0253808535635	-0.0662956163287	0.0292215794325	0.00124462565873	0.0303548630327	0.0283365938812	-0.0155548108742	0.0477747693658	0.0665011927485	0.0307336747646	0.0487970001996	-0.04379953444	-0.0124799637124	0.130782678723	0.0206314790994	-0.0492061600089	0.0224737208337	-0.028094233945	-0.109628938138	-0.0217163152993	0.0208440069109	-0.00847825594246	1.0	1.0	1.0
GTEX-12WSD	-0.1049	-0.019	0.0003	0.0065	-0.0034	0.0343005359173	-0.0339107140899	0.0565072149038	0.047056991607	-0.00936614070088	0.0927704572678	0.0269065778702	-0.0253288708627	-0.0994474068284	0.0398795828223	0.0329868122935	0.0548007600009	-0.0151406042278	-0.0465385243297	-0.0578730106354	-0.00978730339557	-0.00295939156786	-0.0424343310297	0.0598363243043	-0.0550523139536	0.0196276921779	-0.107878372073	0.00819411128759	-0.0124853579327	-0.0315239727497	0.0235003810376	-0.0184763688594	0.0335566624999	0.0242677945644	-0.0344908647239	-0.0672081187367	-0.0250905975699	0.0433840677142	-0.074540220201	0.0903422161937	-0.0347388014197	-0.0186484083533	0.0687645897269	-0.0551781058311	-0.0499855168164	0.0448350049555	-0.018283624202	0.0649770498276	0.0484980978072	-0.106382228434	0.0	1.0	2.0
GTEX-12WSG	0.0136	-0.0001	0.0169	0.0042	-0.0041	-0.0728463977575	-0.0438820905983	-0.00430462229997	-0.0487916879356	-0.00766257243231	0.0111107686535	0.0092781400308	0.0411438122392	0.0449775122106	0.0345886945724	-0.065661251545	0.0361437760293	-0.0587299503386	-0.00702857691795	-0.0286031551659	0.0150999845937	0.0685886964202	-0.0399307608604	0.04297850281	0.00726911891252	-0.0185106191784	0.0467654056847	-0.00729633495212	0.0339074321091	0.059727769345	-0.076666213572	0.0379346124828	0.00492548616603	0.00503832614049	-0.098169580102	0.0589788034558	0.00773981679231	0.0518216788769	0.0319806486368	-0.112347647548	0.0169629957527	0.0214491710067	0.0395480133593	0.0171697475016	-0.0230567175895	-0.042368363589	0.0254647899419	-0.0311128068715	0.0309264641255	0.0848784446716	1.0	1.0	1.0
GTEX-12WSK	0.0148	-0.006	0.0201	0.0002	0.025	0.0279076136649	0.0411475673318	0.000658958684653	-0.0384507626295	-0.00917885545641	-0.00741698406637	-0.0131206028163	-0.0222888533026	0.0291705895215	0.0159594062716	0.0137072941288	-0.0331197082996	0.0444110222161	0.0126133570448	0.0819780901074	-0.00143667089287	0.0271465349942	-0.0163393877447	-0.0727816596627	0.0307345092297	-0.00601276569068	-0.0203467365354	0.00443740747869	-0.0699423477054	-0.0124957617372	-0.0154770053923	-0.0258455183357	-0.051349978894	-0.0229095574468	-0.0115282610059	0.0323030985892	0.00141174916644	-0.0153814414516	-0.0230478830636	-0.0345069207251	-0.0974783077836	0.0180651247501	0.0107901012525	-0.0368885286152	-0.0379815548658	0.0718813240528	0.00179679947905	0.0331645198166	0.0590607412159	0.0362806580961	1.0	1.0	1.0
GTEX-12WSL	0.0145	-0.006	0.011	-0.0075	0.0148	0.0137036275119	-0.0971837714314	-0.0803322046995	0.0459838882089	-0.137457698584	0.0299863535911	0.00271645281464	-0.0683689787984	-0.00988462287933	-0.0649178251624	-0.0425755567849	0.000191607628949	-0.0521332658827	-0.00689909700304	0.0309862494469	-0.00330411316827	0.00522323977202	0.0340927839279	-0.127806156874	-0.0506868809462	0.0119684999809	0.0591888800263	-0.159533008933	0.0859820321202	-0.0311249792576	-0.0138400802389	-0.106193803251	-0.103896684945	0.102231144905	-0.0214135032147	-0.0251814406365	0.00963263306767	-0.0450721308589	0.127371430397	-0.121733881533	-0.0407504029572	-0.0327685214579	-0.0957378819585	-0.0755514800549	0.137423619628	-0.00434509525076	0.136732429266	-0.088212877512	-0.00436603743583	0.0664515420794	1.0	1.0	1.0
