ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	InferredCov16	InferredCov17	InferredCov18	InferredCov19	InferredCov20	InferredCov21	InferredCov22	InferredCov23	InferredCov24	InferredCov25	InferredCov26	InferredCov27	InferredCov28	InferredCov29	InferredCov30	pcr	platform	sex
GTEX-1128S	0.0145	-0.0093	0.0327	0.0056	0.051	-0.0618015937507	0.0105096455663	0.0320776253939	0.0523773096502	-0.0357636287808	0.0571061447263	-0.105663359165	0.0361255072057	-0.0910670757294	0.0335607156157	-0.101600170135	-0.0358729474247	-0.0698539689183	-0.0457969792187	-4.55873741885e-05	-0.031835604459	0.0941404551268	-0.063223041594	0.199706181884	0.111978255212	0.093609213829	0.0946852490306	-0.0435986407101	-0.0172595530748	0.0389010682702	0.00112494791392	-0.0279523637146	0.127810388803	0.0379670672119	-0.08058989048	1.0	1.0	2.0
GTEX-113JC	0.0106	0.0037	-0.0116	-0.0239	-0.0036	0.0277296546847	0.0873211100698	-0.0182788837701	0.0162222180516	-0.0570240430534	0.00449579907581	0.0359352864325	0.0422938689589	0.14178815484	-0.0497003793716	-0.0230630710721	0.00877913925797	-0.0658055394888	-0.0640114694834	0.0185931622982	0.0293907914311	0.0222105123103	-0.0545367859304	0.0590003617108	0.0791689231992	0.0511175021529	-0.0598569735885	0.0731636583805	-0.00837955158204	-0.0788896754384	0.0022081125062	-0.000798148685135	-0.0432618297637	-0.0725133195519	-0.0430221669376	1.0	1.0	2.0
GTEX-117XS	0.0139	-0.0056	-0.0096	-0.0022	0.0177	0.00642236787826	-0.0176091603935	-0.0455788634717	0.0591332279146	-0.0248257499188	0.0511674843729	-0.0417843163013	0.0213730633259	0.0162797104567	-0.0216771680862	-0.0324281603098	-0.128174453974	-0.0134310396388	0.00386370392516	0.00213003810495	0.116893149912	-0.0253439806402	-0.0510735884309	-0.0823774114251	-0.00559476902708	-0.0175979435444	-0.0185325816274	-0.0163129121065	0.0494650267065	0.000494652835187	-0.0215109158307	0.0191667787731	-0.0437174551189	0.11390504241	-0.0303262826055	1.0	1.0	1.0
GTEX-117YW	0.0109	-0.0031	-0.0767	0.012	0.002	0.0105025963858	-0.0631539523602	-0.0312921591103	-0.02437505126	-0.0324106402695	-0.0672416388988	-0.0978401526809	0.00721772108227	-0.0291560404003	0.00217860843986	0.00863681081682	-0.0444144271314	0.0221062134951	0.0287429206073	0.10794043541	0.0195520706475	-0.00275775697082	-0.0193363856524	-0.0482375100255	0.00278009008616	-0.0605983063579	-0.00812597945333	-0.00517372833565	0.0154179949313	-0.00607306463644	-0.0553755685687	-0.0219831839204	-0.0335481353104	-0.0131435096264	0.115686222911	1.0	1.0	1.0
GTEX-1192W	0.0134	0.0005	0.0061	0.0272	-0.1183	0.0265955422074	-0.0475021675229	-0.0270245969296	-0.000836131104734	-0.0104146813974	-0.0396348014474	-0.00067924533505	0.0105818472803	0.012083359994	0.0145449200645	-0.0505259223282	0.0389546193182	0.0227045305073	0.0415584631264	-0.0106993326917	0.0708030462265	-0.109538584948	0.0179635640234	-0.0182710271329	0.0986256599426	0.00930371880531	-0.0317338854074	-0.0596596933901	-0.0434659831226	0.0610123425722	-0.00757771916687	0.0254414286464	0.0514952912927	-0.0583046674728	-0.083463460207	1.0	1.0	1.0
GTEX-1192X	0.0138	-0.0056	0.0067	0.0275	-0.0057	0.0104029709473	0.00441861990839	0.0207090526819	0.0490064956248	0.0557081624866	0.0904952213168	-0.00795408431441	0.0255131814629	-0.0469908379018	-0.0417128913105	0.0142901036888	-0.0183630995452	0.0610938668251	-0.035591263324	0.0914346501231	0.0545454919338	0.00796722620726	-0.0139600513503	-0.0626690611243	-0.0359139069915	0.0200033150613	-0.00863597542048	0.0969555675983	0.00745523441583	-0.00911703612655	-0.0370585545897	0.0558061487973	-0.0768277496099	0.0533130913973	-0.0735032781959	1.0	1.0	1.0
GTEX-11DYG	-0.0941	-0.0131	0.0034	0.0074	-0.0088	0.0126637071371	0.0205258391798	-0.0534970574081	-0.0161783583462	-0.00608127797022	-0.0223933942616	-0.0188021883368	-0.0562528222799	0.0229676794261	-0.0254825726151	-0.042134784162	0.0679623782635	0.137008056045	-0.0943916663527	-0.0481570884585	0.0155319785699	0.0926151499152	0.0279979743063	0.0635006055236	0.0807180553675	-0.0121281873435	-0.0212863646448	-0.135579898953	-0.00732539733872	0.0376663804054	0.0382513068616	-0.0479069538414	0.057324655354	-0.03163613379	0.0600770451128	1.0	1.0	1.0
GTEX-11EI6	0.0141	-0.004	0.0165	-0.0025	0.0366	-0.0716852545738	-0.0241830088198	-0.0111596807837	-0.0667762458324	-0.0298937615007	0.00427515804768	-0.0047685704194	0.0357189811766	0.0102533176541	-0.0239620711654	0.0394320860505	0.0867640003562	0.00131817022339	0.0793291330338	0.0293181985617	0.0127470260486	-0.0390139296651	-0.0263608880341	-0.0327568612993	-0.0464451089501	0.028771230951	-0.001528901048	0.0272414237261	6.15028329776e-06	-0.000504702504259	0.0457682721317	-0.0228378474712	0.0746537074447	-0.00766304507852	-0.0427060052752	0.0	1.0	1.0
GTEX-11EMC	0.0141	-0.0025	-0.0036	0.0053	0.0064	-0.00695145409554	-0.0402238518	0.0278012417257	0.000259758846369	-0.0390019342303	0.0467590354383	0.0361802950501	0.0192663557827	-0.0470811128616	0.0270725805312	-0.00729570304975	0.00757329491898	-0.0398096963763	-0.0395949780941	-0.0190969333053	0.0530636645854	-0.00687843374908	0.00232014479116	0.0388335734606	0.0751487538218	0.0505189411342	-0.031101372093	-0.01169520244	0.0647379159927	-0.0324063152075	0.0584627538919	0.11085703969	-0.0466050580144	-0.154041200876	-0.0663695037365	1.0	1.0	2.0
GTEX-11GS4	0.0091	-0.0024	-0.1295	0.0143	-0.0224	0.026411248371	-0.0229984149337	-0.0447342470288	-0.020444156602	-0.0326296389103	-0.0247588250786	-0.0232712943107	-0.088090442121	0.0249548945576	-0.0222555641085	0.0215190984309	-0.112659960985	0.00987161602825	-0.0856217741966	-0.000946103420574	0.054586302489	-0.0270448997617	-0.0261490251869	-0.130253702402	0.033217612654	0.0125118838623	-0.0116326613352	0.0605947636068	0.0461109317839	0.0129847414792	0.0831558853388	0.0500207878649	0.0132258189842	-0.0128552885726	-0.0266622938216	1.0	1.0	1.0
