ID	PC1	PC2	PC3	PC4	PC5	InferredCov1	InferredCov2	InferredCov3	InferredCov4	InferredCov5	InferredCov6	InferredCov7	InferredCov8	InferredCov9	InferredCov10	InferredCov11	InferredCov12	InferredCov13	InferredCov14	InferredCov15	InferredCov16	InferredCov17	InferredCov18	InferredCov19	InferredCov20	InferredCov21	InferredCov22	InferredCov23	InferredCov24	InferredCov25	InferredCov26	InferredCov27	InferredCov28	InferredCov29	InferredCov30	InferredCov31	InferredCov32	InferredCov33	InferredCov34	InferredCov35	InferredCov36	InferredCov37	InferredCov38	InferredCov39	InferredCov40	InferredCov41	InferredCov42	InferredCov43	InferredCov44	InferredCov45	InferredCov46	InferredCov47	InferredCov48	InferredCov49	InferredCov50	InferredCov51	InferredCov52	InferredCov53	InferredCov54	InferredCov55	InferredCov56	InferredCov57	InferredCov58	InferredCov59	InferredCov60	pcr	platform	sex
GTEX-1117F	-0.0867	-0.0132	-0.0062	0.0046	0.0054	-0.00253717484884	-0.024029398337	0.0223169587553	0.0360115282238	-0.087313324213	-0.0922948047519	0.00906451977789	0.0310602802783	0.00697665289044	-0.0438392758369	-0.00436065346003	0.00405380921438	0.00535045145079	0.0586787648499	-0.0254313275218	0.0714748352766	-0.0597813799977	0.00406573200598	0.0175656955689	-0.031072858721	-0.00104337441735	-0.0391833595932	-0.0367823839188	-0.043022532016	0.0398941412568	-0.0187799390405	-0.0189891494811	-0.0811723917723	-0.0281299389899	0.0164513569325	0.060703381896	-0.109779000282	-0.0332789644599	-0.204221963882	-0.0996385365725	0.0107321534306	-0.0323038101196	0.0213779397309	-0.0562676712871	0.0444955043495	0.0713068023324	-0.0394030287862	0.026311699301	-0.0722557529807	0.0248451828957	-0.0638945698738	-0.00307581108063	0.011414882727	-0.0213884133846	-0.0592017173767	0.102068908513	-0.031083650887	-0.0917334035039	-0.0514352098107	0.015662189573	-0.130046635866	0.0739289298654	-0.0283941365778	-0.102918170393	-0.00111467018723	0.0	1.0	1.0
GTEX-111CU	0.0107	-0.0026	0.0004	-0.0015	0.0112	-0.0520516559482	-0.0197525788099	0.00356211070903	0.0188912898302	0.00659442599863	-0.0443588979542	-0.00907955225557	-0.00115384801757	-0.0117102656513	0.0452237538993	0.0321393571794	0.0162625350058	-0.0298390947282	0.0227868929505	0.0181674063206	-0.0242908615619	0.0166711043566	-0.0257942788303	-0.0676873922348	0.0185557436198	-0.0263009443879	0.0191083606333	0.0138075016439	0.0685167983174	-0.00430756760761	-0.0359193123877	0.0221537128091	0.0343117937446	-0.039555195719	-0.0501458011568	0.075881972909	-0.0711018666625	-0.0346528813243	0.0132066747174	-0.00124370481353	0.0483051873744	0.0393982417881	-0.0260593090206	-0.0256130881608	-0.0658263117075	-0.0111396815628	-0.00437566125765	0.0101063074544	-0.0380055457354	0.0480049178004	-0.0258486941457	-0.00899555999786	-0.00246974034235	0.0147392526269	-0.0162153895944	-0.00588246295229	0.0598322674632	-0.0509346015751	-0.0176751632243	-0.0360432676971	0.0831158235669	-0.032261762768	0.0510462969542	-0.0778189972043	-0.0144094657153	0.0	1.0	1.0
GTEX-111FC	0.0099	-0.005	0.0304	0.0076	0.0347	0.0314176045358	-0.0431107021868	-0.0168617311865	-0.0792748555541	-0.0403659194708	-0.0138228088617	-0.0357749164104	-0.0275771319866	-0.0929390788078	-0.0765335187316	-0.0868920460343	-0.0256783273071	0.0453277043998	-0.0400427430868	-0.0393381789327	0.0517555773258	0.0219191741198	-0.0746529251337	-0.0298807490617	-0.0391992591321	0.0716559514403	-0.0061036455445	0.067588634789	-0.0639798939228	0.00544772157446	0.0132940700278	-0.0166311301291	-0.0396002158523	0.0221694856882	-0.113648787141	-0.0279189180583	-0.0745532214642	-0.0440126508474	0.00907317735255	-0.0757811814547	0.0237771719694	-0.0999291539192	-0.0389198809862	-0.01850021258	0.247066527605	0.0582499355078	-0.065159112215	-0.035316709429	0.0754067450762	0.0138738332316	0.0478012934327	0.0531706251204	0.0416768603027	0.0374442525208	0.102152340114	-0.0123372087255	-0.0340751633048	0.0907578617334	0.0106692500412	-0.0560275800526	-0.031027533114	0.151834368706	0.0586236044765	-0.0490654148161	0.0980958938599	1.0	1.0	1.0
GTEX-111VG	0.0144	-0.0081	0.0133	0.0035	0.0018	-0.00389234418981	-0.0159105286002	-0.0112750511616	0.0292862616479	-0.0227590724826	-0.0085124829784	-0.00801193155348	-0.0348263122141	-0.0394290275872	0.0460191592574	-0.0488692447543	-0.0144829675555	0.00304822041653	-0.0426849126816	0.0177552793175	0.00187456293497	0.0539942272007	0.0134913716465	0.0545370951295	-0.00765724200755	0.0262303948402	-0.0635770112276	0.0283596217632	-0.0305945407599	-0.0529818162322	0.032529771328	0.0339885875583	-0.0191007480025	-0.0511930026114	-0.0356741324067	0.0618274956942	-0.0169241260737	0.0139950020239	-0.0532582886517	0.00494262622669	0.0415922403336	-0.0330635495484	0.0280866827816	-0.0776680484414	-0.0186272747815	-0.0283741950989	0.114778980613	0.0210506785661	-0.0143420342356	-0.0191402528435	0.0985911414027	0.116607740521	0.0220373105258	0.106621682644	-0.0332749933004	0.0345222912729	0.0321701578796	0.0641207695007	-0.0299814343452	-0.00992380734533	0.160885855556	-0.0904259756207	-0.0681898072362	-0.106513388455	-0.076395265758	1.0	1.0	2.0
GTEX-111YS	0.0154	-0.0093	0.0107	-0.0038	-0.0083	0.0272285714746	0.000343613995938	-0.0312995389104	0.0315106399357	-0.00136460736394	-0.021074546501	-0.108104497194	0.0459594801068	-0.0489792972803	0.0745275467634	-0.00526591576636	0.0960282459855	0.0329146981239	0.0419584922493	0.00623139180243	-0.0228727385402	-0.0350255668163	0.0468201711774	0.0037969048135	0.039986975491	-0.00409064767882	-0.0275252759457	-0.0504753440619	-0.0437895618379	-0.00165508093778	-0.0631177127361	0.085354462266	0.0759863480926	0.0299460850656	-0.0264520440251	-0.0814567357302	-0.0211216788739	0.0825182721019	-0.0234714951366	-0.0640216320753	0.113201014698	0.0647433400154	0.0523161143064	0.0271109919995	0.0115437377244	-0.00793852936476	0.0938470214605	-0.00768870906904	-0.00128491281066	0.00543078221381	-0.0298080239445	0.00830284506083	0.042702652514	0.0298484787345	0.0531190223992	-0.0283355079591	0.0541031323373	0.100714683533	-0.0520430505276	0.0496367812157	-0.0325541011989	-0.0877293497324	-0.00896569620818	-0.0387343876064	-0.0810220092535	0.0	1.0	1.0
GTEX-1122O	0.0139	-0.0097	0.0067	-0.0144	0.0296	0.0117924967781	-0.00171572261024	0.0434390790761	-0.0286186821759	0.0559579655528	-0.00128119881265	0.0246314443648	0.0176306590438	0.022802663967	-0.00440590269864	0.0284606851637	0.00939355418086	0.0160830505192	0.0208225287497	0.0547967031598	-0.00501873111352	0.0269663799554	0.0149400215596	0.0141996154562	0.0278067719191	0.0249720327556	0.0247050896287	0.00360666355118	0.0116962380707	-0.0327251553535	-0.0293411538005	0.00623843539506	0.026773057878	-0.0161761473864	-0.0442900955677	-0.0259021651	-0.0588620491326	0.040193900466	-0.0920889526606	0.0179481059313	-0.0221114978194	-0.0223230924457	-0.158237695694	-0.00620976928622	-0.0489364229143	0.00594598939642	-0.0147477956489	-0.0243081133813	0.0809959918261	0.00822441931814	-0.0546062104404	0.00658063264564	-0.0937263593078	0.0044464841485	0.075910679996	-0.0906225442886	-0.00179164716974	0.0406402125955	-0.0381092913449	-0.00702046090737	-0.0130090173334	-0.162898167968	-0.0154019119218	0.0488343015313	-0.0735238865018	0.0	1.0	1.0
GTEX-117YX	-0.024	0.2897	0.0133	0.1111	0.0262	0.037356402725	0.00268725724891	0.00254282169044	0.0709137171507	-0.0193856935948	-0.0573607087135	-0.0356765985489	-0.00723078753799	0.00537885446101	-0.0312359035015	-0.066417478025	0.0248174648732	0.0418626628816	-0.0193697270006	0.0996142029762	-0.0160277336836	-0.0193879697472	-0.0427822582424	0.0323622636497	-0.0098424917087	0.0258191395551	-0.034900996834	-0.00464597297832	-0.0284963417798	0.0694946944714	0.0698679164052	0.0736427977681	0.0141229191795	0.11933363229	0.0396990217268	-0.0800438076258	0.0248469226062	-0.0680877417326	-0.0182362087071	-0.0651250109077	-0.00208973698318	0.0299881473184	0.0126019595191	-0.0164675954729	0.0727437660098	-0.0398024469614	-0.0541764758527	0.0910246968269	0.0209977980703	0.0415558479726	-0.0452199578285	-0.022970315069	0.0793477594852	0.00136265088804	0.0932018309832	-0.0302261412144	-0.0369341596961	-0.0482486411929	0.0388995334506	-0.0305624008179	0.00262623466551	-0.00494024157524	-0.0651400908828	-0.0982780978084	0.0109417699277	1.0	1.0	1.0
GTEX-1192X	0.0138	-0.0056	0.0067	0.0275	-0.0057	-0.0210565514863	-0.0177003685385	0.0491445213556	0.02947871387	-0.0304722618312	0.0322679951787	0.0423434972763	0.0215153880417	-0.0387930572033	-0.012341408059	-0.0161366872489	0.0366341359913	0.00678948219866	-0.055650614202	0.0523453839123	-0.0079813990742	0.0615066289902	-0.0391155071557	-0.0097351744771	-0.0182961821556	-0.125389173627	-0.0254025626928	-0.0276749636978	0.115672580898	-0.0891514569521	-0.0351783148944	0.0219449941069	0.0625840425491	-0.0271731112152	-0.00590419908985	0.0815109759569	-0.0539804510772	-0.094968535006	0.040785625577	0.0532700680196	0.0625791698694	-0.00231218943372	0.0264670532197	0.0144358426332	0.0730880945921	0.0129088209942	0.0185083858669	-0.00118516385555	0.0349388457835	0.0519728288054	-0.0958535894752	-0.131836459041	-0.0857154726982	-0.0828299447894	-0.0721200108528	0.0755201131105	-0.100144036114	0.00894761551172	-0.0632056072354	0.126839533448	0.0735884904861	0.0989951491356	-0.0843010023236	-0.167776733637	-0.119708687067	1.0	1.0	1.0
GTEX-11DXX	0.0141	-0.0083	0.0026	0.015	0.0228	0.0339392721653	-0.028185274452	-0.00796635076404	-0.0222085397691	-0.0483165718615	-0.0591195449233	0.0365751646459	0.0744099617004	0.0111656934023	0.0147228427231	0.0662415474653	-0.0407627485693	0.0353436246514	-0.0814678817987	0.00429125223309	0.0426518283784	-0.0170449186116	0.0490046255291	0.06272546947	-0.0648144185543	-0.0423085279763	-0.0040697734803	-0.0401650853455	-0.00527882343158	0.0193540789187	-0.0132611887529	-0.00347849121317	-0.0499459542334	0.087941326201	-0.0773661360145	0.0181309040636	0.0524083152413	-0.0625449940562	-0.0680136531591	-0.0253164414316	-0.0456561744213	-0.0177314709872	0.0956386476755	0.0798740908504	-0.0373455025256	-0.0763048902154	-0.060211725533	-0.0785151794553	-0.0123116821051	0.036705814302	0.0202952064574	0.0625727921724	0.0129630789161	0.10630851239	0.0311222728342	0.0362519659102	0.196686461568	-0.129226580262	-0.0290344394743	0.0626122280955	-0.0454027689993	0.140563726425	-0.00194542098325	0.017369357869	-0.063895046711	1.0	1.0	2.0
GTEX-11DXZ	-0.0898	-0.012	0.0067	0.0028	0.0143	-0.0135763715953	0.0242446679622	0.00672980677336	-0.0521196648479	0.0415708944201	0.0140889249742	-0.0235368963331	0.0137172462419	-0.0359278619289	0.0226062871516	-0.0288874488324	0.00632409844548	-0.0241941157728	0.0165265928954	0.0378987528384	-0.0226523187011	0.0321238413453	0.0269195381552	-0.0314723402262	-0.00570017378777	0.00375774223357	0.0211816746742	0.00125503493473	0.00117441359907	0.0368436910212	0.00830814149231	0.0088570015505	-0.0473169013858	0.0013798676664	-0.0815354287624	0.0460445359349	0.132986336946	-0.0301962699741	-0.00627001747489	0.0173004977405	0.0186441652477	-0.0887471586466	0.036775842309	0.0478873066604	0.000746055447962	0.0456791706383	-0.0247998461127	-0.0201529562473	0.0302797053009	0.0260775368661	-0.0590576156974	0.0274102389812	-0.0304042119533	-0.011489097029	-0.0338097549975	0.0865188166499	-0.0406041927636	-0.0178452245891	-0.0809384137392	0.0173804238439	-0.0337256528437	-0.0502185560763	-0.0465591885149	0.0119940610602	-0.00930020585656	1.0	1.0	1.0
